"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","test_var"
"11","Ghana","GHA","Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.IN.KT.CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1
"12","Central African Republic","CAF","Adjusted net enrolment rate, primary, male (%)","SE.PRM.TENR.MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.91421,68.85685,70.694,NA,NA,NA,64.03441,63.99597,NA,NA,69.52923,72.04163,76.11377,NA,NA,74.01428,62.04896,58.91222,58.68004,69.53792,63.89672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.53829956,58.16413879,68.26283264,78.27797699,79.07678986,81.55049133,78.62206268,80.91101074,NA,NA,NA,1
"13","Europe & Central Asia (all income levels)","ECS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.34122864,83.25197688,82.73603184,83.90975727,86.05093701,88.02923896,88.03235493,89.41803742,90.73940688,91.86012933,90.93034838,90.37041867,91.44455814,93.06760592,94.42085103,94.70813855,94.75192376,93.59794512,93.25796353,93.976344,94.55677338,94.84613387,94.3653047,NA,1
"14","Samoa","WSM","Improved sanitation facilities, rural (% of rural population with access)","SH.STA.ACSN.RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,92.3,92.2,92.2,92.1,92,92,91.9,91.9,91.8,91.8,91.7,91.7,91.6,91.6,91.5,91.4,91.4,91.3,91.3,91.2,91.2,91.1,91.1,91.1,91.1,1
"15","Mongolia","MNG","Business extent of disclosure index (0=less disclosure to 10=more disclosure)","IC.BUS.DISC.XQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,5,5,6,6,1
"16","Niger","NER","Changes in inventories (constant LCU)","NE.GDI.STKB.KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9502e+10,1.627e+09,1.9828e+10,-1.943e+09,1.9111e+10,-4.014e+09,1.0952e+10,-3.965e+09,5e+10,NA,1
"17","Gambia, The","GMB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.981146496,6.234048019,6.624790671,6.850792283,6.790886565,7.066705861,6.940950074,6.971032587,6.940959954,7.051291006,6.878592034,6.990068105,7.473322529,8.552102727,9.512408321,9.645432669,9.536160127,9.769478197,9.826356416,10.31125496,10.65708289,10.82647365,11.0582571,11.51980211,12.01009737,NA,1
"18","Sub-Saharan Africa (all income levels)","SSF","Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282079399,0.441970941,0.333405029,0.297622305,0.408664456,0.352353509,0.363658029,0.457767777,0.473920587,0.564370485,0.567609988,0.636995381,0.678860981,0.737885628,0.771588664,0.665449724,0.597840497,0.530296708,0.575864432,0.635986342,NA,1
"19","OECD members","OED","Firms using banks to finance investment (% of firms)","IC.FRM.BNKS.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,NA,NA,1
"20","Fragile and conflict affected situations","FCS","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.71942078,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.87740265,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.83766794,NA,27.26370912,NA,NA,NA,1
"21","Congo, Dem. Rep.","ZAR","Time required to get electricity (days)","IC.ELC.TIME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,111,111,111,111,65,56,1
"22","Uruguay","URY","Vulnerable employment, female (% of female employment)","SL.EMP.VULN.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.29999924,20.89999962,20.10000038,22,24.79999924,21.79999924,NA,21.70000076,23.79999924,24,24.29999924,23.89999962,21.20000076,22.39999962,21.60000038,21.29999924,NA,NA,1
"23","Bhutan","BTN","CPIA gender equality rating (1=low to 6=high)","IQ.CPA.GNDR.XQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,4,4,4,4,4,4,4,4,NA,1
"24","Channel Islands","CHI","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25","French Polynesia","PYF","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.96753032,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35704742,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1764683,NA,72.42143834,NA,NA,NA,1
"26","Comoros","COM","Net bilateral aid flows from DAC donors, Slovenia (current US$)","DC.DAC.SVNL.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"27","Brazil","BRA","PNG, commercial banks and other creditors (DOD, current US$)","DT.DOD.PNGC.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706300000,2427100000,4238800000,5.15e+09,8181900000,9592900000,11133300000,13005800000,16151800000,15864100000,16605300000,19791600000,23123600000,2.1512e+10,19303955000,17176533000,14641200000,14434321000,11514120000,6007453000,6671030000,7438780000,10376701000,13549946000,15309947000,19540488000,34840264000,61013365000,91337671000,96713419000,95835585000,78643428000,71071438000,40380819000,34008196000,33535757000,50124721000,73450180000,1.07987e+11,96483480000,1.01908e+11,1.83399e+11,2.17777e+11,2.47874e+11,2.65166e+11,NA,1
"28","Slovenia","SVN","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12602901300,10063893500,7699399300,7744570000,8699298700,8794120000,9055470000,10109040000,10899760000,11118240000,12518310000,13417440000,14461630000,14918690000,16864460000,18780920000,21433260000,24350160000,25364890000,21157500000,2.3306e+10,24912620000,25058640000,25823410000,27321130000,NA,1
"29","Iran, Islamic Rep.","IRN","2005 PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2674.755076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"30","Czech Republic","CZE","Out-of-school children of primary school age, both sexes (number)","SE.PRM.UNER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"31","Solomon Islands","SLB","Fixed telephone subscriptions","IT.MLT.MAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1700,2000,2234,2482,2782,3200,3750,4675,4850,5143,5460,6020,6502,7210,7695,7907,8132,7689,7389,6601,6238,6962,7407,7600,7800,8000,8200,8400,8391,8060,7618,7525,NA,1
"32","Netherlands","NLD","Air transport, passengers carried","IS.AIR.PSGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2881100,3012300,3275800,3682400,3627100,3827700,4080900,4452000,4718300,4918900,4983800,5058000,5201900,5278900,5654900,6027700,6382000,7403400,7860100,8253400,8559400,8893200,10087800,11774600,12894800,16377900,17114300,17889900,18675500,19741200,20898713,20072980,22931166,23454932,25595676,26132696,27454451,28857440,29601230,29108547,26979676.63,29959476.4,31672223.98,33455248.36,33928613.31,NA,1
"33","Poland","POL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,NA,NA,1
"34","Bosnia and Herzegovina","BIH","Children in employment, male (% of male children ages 7-14)","SL.TLF.0714.MA.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"35","Qatar","QAT","Primary to secondary general education transition rate, male (%)","SE.SEC.PROG.MA.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.91489,87.81665,86.74286,88.25542,80.56723,76.58834,81.62846,92.26151,98.82108,94.61698,97.99062,84.57971,NA,85.37329,84.49761,92.3601,92.232,89.52926,86.61238,82.50201,92.76316,100,96.90662,98.23542,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.76856232,97.25897217,97.76603699,100,100,NA,99.94989777,NA,99.41558838,NA,NA,NA,1
"36","Vanuatu","VUT","Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)","LP.LPI.INFR.XQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"37","Greece","GRC","Net bilateral aid flows from DAC donors, Germany (current US$)","DC.DAC.DEUL.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"38","Malawi","MWI","Net enrolment rate, primary, both sexes (%)","SE.PRM.NENR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.58602905,NA,NA,98.80751038,NA,96.81581116,96.95320129,96.41519928,92.77979279,96.50389099,96.90133667,NA,NA,NA,NA,NA,NA,1
"39","Haiti","HTI","Household final consumption expenditure (constant LCU)","NE.CON.PRVT.KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"40","Burundi","BDI","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,1
"41","San Marino","SMR","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"42","Armenia","ARM","Imports of goods and services (constant LCU)","NE.IMP.GNFS.KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38981e+12,1.83594e+12,7.87617e+11,4.34764e+11,5.52586e+11,3.72443e+11,3.70208e+11,4.13152e+11,3.92908e+11,3.85442e+11,4.13194e+11,4.39668e+11,5.22972e+11,6.61779e+11,6.42445e+11,7.34332e+11,7.6195e+11,8.60964e+11,9.23626e+11,7.46718e+11,8.42298e+11,8.30506e+11,8.07252e+11,7.90299e+11,8.04773e+11,NA,1
"43","Haiti","HTI","Distance to frontier score (0=lowest performance to 100=frontier)","IC.BUS.DFRN.XQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.99,43.12,42.55,42.63,44.07,39.51,39.56,1
"44","Benin","BEN","Money and quasi money (M2) as % of GDP","FM.LBL.MQMY.GD.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"45","Uganda","UGA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.081410147,1.512186795,1.772403073,2.057082514,2.504594625,3.197667341,3.446244196,3.677627776,3.999438754,4.604538941,4.227783433,NA,1
"46","Cyprus","CYP","Changes in inventories (current US$)","NE.GDI.STKB.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14106485.27,31746235.35,39948329.12,34449863.02,49927397.33,77921227.2,48374616.46,42978421.7,49984649.61,62688434.7,76575527.83,59849265.54,76169062.12,122624843.2,153268639.1,136294366.2,88450378.79,210734941.3,95794346.29,366128928.6,291772315.7,168218318.7,61459521.09,64253393.67,-33268608.41,110131951,37914389.8,146673076.9,33601359,232887500,173730289,-129374881,-318488990.8,-126458471,-461781018.6,343555704.9,-15597300.5,294850169.7,-313240555.6,254135847,NA,1
"47","Middle income","MIC","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.798585444,0.792344279,0.776248025,0.731839202,0.700003248,0.687747854,0.661958493,0.62355268,0.5873057,0.56564805,0.54019516,0.521545794,0.505520673,0.523902889,0.520066946,0.49677655,0.476178018,0.447924468,0.433270426,0.433431711,0.417163379,0.413070308,NA,NA,NA,NA,1
"48","Paraguay","PRY","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN",65.822,66.044,66.247,66.425,66.577,66.711,66.842,66.984,67.148,67.335,67.538,67.748,67.95,68.133,68.296,68.437,68.56,68.674,68.786,68.899,69.014,69.128,69.24,69.351,69.462,69.576,69.7,69.835,69.983,70.145,70.318,70.499,70.682,70.867,71.051,71.237,71.431,71.635,71.852,72.079,72.315,72.556,72.797,73.032,73.256,73.466,73.656,73.828,73.983,74.121,74.246,74.362,74.473,74.584,NA,NA,1
"49","Central African Republic","CAF","Residual, debt stock-flow reconciliation (current US$)","DT.DOD.RSDL.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81653000,224673000,108179000,101597000,120358000,141253000,128611000,156526000,148508000,146663000,63244000,77887000,109588000,116420000,144299000,258667000,105901000,102961000,77611000,82586000,503226000,4719000,141428000,202268000,27430000,16064000,NA,1
"50","Guinea-Bissau","GNB","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68771,4.73879,NA,NA,NA,2.78677,4.0508,4.68589,5.41516,5.53777,6.64998,9.3995,12.96214,14.13418,12.3085,NA,6.11647,4.60704,4.98284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8848896,NA,NA,NA,NA,32.41596985,34.45721817,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"51","Israel","ISR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e+07,1.1e+07,6e+06,6e+06,9e+06,2e+07,1.4e+07,8e+06,1.8e+07,1.5e+07,3.1e+07,38099998.47,452600006.1,511500000,499100006.1,410100006.1,552799987.8,751299987.8,7.49e+08,7.31e+08,8.5e+08,7.95e+08,1116699951,907599975.6,919200012.2,1407199951,2025099976,2399300049,2.874e+09,3080800049,3255100098,3038699951,2780500000,2501899902,2217800049,2205600000,2335300000,2797900000,3635900000,3420900000,3726800000,4344300000,4326100000,5.039e+09,5.155e+09,NA,1
"52","Croatia","HRV","Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","IQ.WEF.PORT.XQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.281401371,3.350394924,3.752489228,3.997409991,4,4,4.3,4.6,NA,1
"53","Spain","ESP","Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)","DT.AMT.DPPG.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
